iter	Logloss
0	0.4001000613
1	0.3233233013
2	0.3001095993
3	0.2884573534
4	0.2825679307
5	0.278846421
6	0.2765209331
7	0.2753301082
8	0.2742520602
9	0.2734755283
10	0.2728612094
11	0.2724674407
12	0.2721459985
13	0.2718223451
14	0.2716310362
15	0.2714444333
16	0.2712146287
17	0.2710892862
18	0.2708706544
19	0.2707349892
20	0.2706510392
21	0.2703261675
22	0.2702344791
23	0.2701246134
24	0.2700334289
25	0.2698732624
26	0.2697262283
27	0.2696358284
28	0.2693236554
29	0.2692507717
30	0.269173458
31	0.2688830397
32	0.2687273807
33	0.2686595808
34	0.2684454055
35	0.2683505782
36	0.2681960236
37	0.267889443
38	0.2677678305
39	0.2676993646
40	0.2675601535
41	0.2674777028
42	0.2674048166
43	0.2673339674
44	0.2671988399
45	0.2671444169
46	0.2670712983
47	0.2669897267
48	0.2668986317
49	0.2668052189
50	0.2667200555
51	0.2666561211
52	0.266573932
53	0.2665120661
54	0.2664450243
55	0.2663770113
56	0.2663173567
57	0.2662519982
58	0.2661789134
59	0.2661272128
60	0.2660429189
61	0.2659598723
62	0.265910194
63	0.265840115
64	0.2657863702
65	0.265727665
66	0.2656611779
67	0.2655910964
68	0.2655572437
69	0.2655244494
70	0.2654709492
71	0.2654204087
72	0.2653569321
73	0.2653059944
74	0.2652733503
75	0.2652124677
76	0.265134367
77	0.2650801111
78	0.2650240677
79	0.2649810791
80	0.2649425664
81	0.264880204
82	0.2648245409
83	0.2647865659
84	0.2647339521
85	0.2646778967
86	0.2646137783
87	0.2645644391
88	0.2644933525
89	0.2644176859
90	0.264362311
91	0.2643004451
92	0.264252484
93	0.2642046126
94	0.2641607932
95	0.2641238767
96	0.2640612599
97	0.2640011839
98	0.263939536
99	0.2638746788
100	0.2638015771
101	0.2637720841
102	0.2637278408
103	0.2636771235
104	0.2636241223
105	0.2635652233
106	0.2635287015
107	0.2634715441
108	0.2634274825
109	0.2634002661
110	0.2633609711
111	0.2633143034
112	0.2632624986
113	0.2632063511
114	0.2631545003
115	0.2631177194
116	0.2630825321
117	0.2630244446
118	0.2629907251
119	0.2629393587
120	0.2629020691
121	0.2628523327
122	0.2628035627
123	0.2627423241
124	0.2626873028
125	0.2626379661
126	0.2626056223
127	0.2625567869
128	0.2625091892
129	0.2624709017
130	0.2624438283
131	0.2623760042
132	0.2623264591
133	0.2622686889
134	0.2622214181
135	0.2621586052
136	0.2621240767
137	0.2620839267
138	0.2620643325
139	0.2620379469
140	0.2620092216
141	0.2619722736
142	0.2619214448
143	0.261862357
144	0.2618286423
145	0.2617869689
146	0.2617559693
147	0.2617061046
148	0.2616658553
149	0.261627965
150	0.2615844339
151	0.2615346273
152	0.2614855109
153	0.2614388602
154	0.2613974435
155	0.2613428485
156	0.2612938557
157	0.2612524293
158	0.2612055412
159	0.2611740355
160	0.2611102028
161	0.2610802399
162	0.261037634
163	0.2609912739
164	0.2609327698
165	0.2608737449
166	0.2608191693
167	0.260762535
168	0.2607112558
169	0.2606821962
170	0.2606433202
171	0.2606221468
172	0.2605782112
173	0.2605357361
174	0.260512751
175	0.2604455373
176	0.2604037621
177	0.2603409274
178	0.2602980477
179	0.2602504767
180	0.2602185616
181	0.2601679097
182	0.2601356942
183	0.2600977047
184	0.260058618
185	0.2600184171
186	0.2599894569
187	0.2599534074
188	0.2599137685
189	0.2598727126
190	0.2598095873
191	0.2597624085
192	0.259727914
193	0.2596908327
194	0.2596565901
195	0.2596219066
196	0.2595735556
197	0.259517006
198	0.2594570511
199	0.2594162036
200	0.2593718393
201	0.2593360223
202	0.2592756943
203	0.2592466421
204	0.2592101348
205	0.2591728089
206	0.2591207813
207	0.2590709892
208	0.2590314302
209	0.2589853002
210	0.2589347355
211	0.2588933018
212	0.2588701109
213	0.2588327051
214	0.2587952871
215	0.2587547351
216	0.2587118966
217	0.2586795456
218	0.2586388894
219	0.2586152383
220	0.258580051
221	0.2585312011
222	0.2585012091
223	0.2584636264
224	0.2584098404
225	0.2583618527
226	0.2583064318
227	0.2582759869
228	0.2582397195
229	0.2582039025
230	0.2581880454
231	0.2581487238
232	0.2581029062
233	0.2580597432
234	0.2580273801
235	0.2580052282
236	0.2579753234
237	0.2579404171
238	0.2579038372
239	0.2578691101
240	0.2578136432
241	0.2577725583
242	0.2577331713
243	0.2576962426
244	0.2576551843
245	0.2576276749
246	0.2575788928
247	0.2575446283
248	0.2575271219
249	0.2574863858
250	0.2574481879
251	0.2574059429
252	0.2573574781
253	0.2573223974
254	0.2572876316
255	0.2572491358
256	0.2572061763
257	0.2571622964
258	0.2571241106
259	0.2570943318
260	0.257056209
261	0.2570238677
262	0.2569887095
263	0.2569373164
264	0.2569012282
265	0.2568736049
266	0.2568295797
267	0.2567973618
268	0.2567478846
269	0.2567017401
270	0.2566673497
271	0.2566232179
272	0.2565823243
273	0.2565798393
274	0.2565447271
275	0.2565008303
276	0.2564731562
277	0.2564378163
278	0.2564076911
279	0.2563749114
280	0.2563295806
281	0.2562819853
282	0.2562440079
283	0.2562172856
284	0.2562008376
285	0.256163427
286	0.256140517
287	0.2561093866
288	0.256056022
289	0.2560358925
290	0.2560095457
291	0.2559824965
292	0.2559400165
293	0.2559028165
294	0.2558566018
295	0.2558148484
296	0.2557751271
297	0.2557250347
298	0.2556842477
299	0.2556379482
