iter	Passed	Remaining
0	27	8175
1	53	7998
2	78	7786
3	105	7780
4	129	7669
5	156	7665
6	184	7715
7	213	7807
8	241	7811
9	267	7761
10	293	7718
11	320	7686
12	346	7645
13	372	7616
14	397	7554
15	425	7549
16	451	7515
17	476	7467
18	502	7430
19	526	7371
20	551	7329
21	580	7338
22	607	7313
23	632	7278
24	659	7253
25	686	7234
26	712	7202
27	742	7216
28	768	7176
29	794	7147
30	821	7130
31	846	7091
32	872	7059
33	895	7007
34	921	6979
35	947	6946
36	971	6907
37	999	6888
38	1025	6862
39	1051	6836
40	1075	6796
41	1102	6773
42	1126	6730
43	1150	6695
44	1176	6667
45	1202	6642
46	1226	6600
47	1254	6586
48	1284	6578
49	1311	6557
50	1340	6543
51	1366	6517
52	1392	6488
53	1416	6452
54	1442	6425
55	1467	6395
56	1494	6369
57	1519	6338
58	1544	6306
59	1569	6276
60	1596	6256
61	1622	6228
62	1646	6194
63	1670	6161
64	1697	6137
65	1727	6123
66	1751	6089
67	1777	6064
68	1804	6040
69	1831	6017
70	1858	5993
71	1884	5966
72	1909	5937
73	1935	5911
74	1959	5878
75	1985	5851
76	2013	5832
77	2041	5810
78	2066	5780
79	2090	5748
80	2117	5725
81	2147	5708
82	2172	5678
83	2197	5649
84	2226	5631
85	2251	5603
86	2280	5583
87	2307	5558
88	2337	5541
89	2367	5523
90	2392	5495
91	2419	5469
92	2443	5439
93	2470	5414
94	2496	5386
95	2520	5355
96	2548	5333
97	2576	5311
98	2603	5286
99	2630	5260
100	2656	5234
101	2683	5208
102	2711	5186
103	2738	5161
104	2766	5137
105	2792	5111
106	2818	5083
107	2844	5057
108	2874	5037
109	2899	5008
110	2928	4986
111	2954	4958
112	2981	4933
113	3012	4914
114	3039	4889
115	3067	4865
116	3094	4840
117	3123	4817
118	3148	4788
119	3172	4759
120	3199	4732
121	3226	4708
122	3254	4683
123	3293	4674
124	3326	4656
125	3352	4629
126	3379	4603
127	3404	4575
128	3432	4550
129	3461	4526
130	3484	4495
131	3510	4468
132	3535	4439
133	3563	4414
134	3588	4386
135	3615	4359
136	3640	4331
137	3666	4303
138	3688	4272
139	3713	4243
140	3738	4215
141	3763	4188
142	3791	4162
143	3818	4136
144	3842	4107
145	3869	4081
146	3896	4055
147	3923	4029
148	3951	4004
149	3977	3977
150	4006	3953
151	4033	3927
152	4060	3901
153	4087	3874
154	4113	3848
155	4141	3822
156	4167	3795
157	4192	3767
158	4217	3740
159	4241	3711
160	4268	3685
161	4293	3657
162	4319	3630
163	4346	3604
164	4372	3577
165	4396	3548
166	4426	3525
167	4456	3501
168	4484	3476
169	4509	3448
170	4535	3421
171	4559	3393
172	4590	3369
173	4620	3345
174	4648	3320
175	4677	3295
176	4705	3269
177	4729	3241
178	4754	3214
179	4778	3185
180	4804	3158
181	4829	3131
182	4855	3104
183	4879	3076
184	4904	3048
185	4930	3021
186	4959	2996
187	4985	2970
188	5012	2943
189	5039	2917
190	5063	2889
191	5088	2862
192	5115	2835
193	5139	2808
194	5163	2780
195	5189	2753
196	5217	2727
197	5244	2701
198	5271	2675
199	5297	2648
200	5324	2622
201	5349	2595
202	5375	2568
203	5401	2541
204	5428	2515
205	5453	2488
206	5482	2463
207	5510	2437
208	5537	2411
209	5564	2384
210	5588	2357
211	5613	2330
212	5639	2303
213	5666	2277
214	5692	2250
215	5715	2222
216	5739	2195
217	5764	2168
218	5790	2141
219	5816	2114
220	5840	2087
221	5864	2060
222	5893	2034
223	5920	2008
224	5944	1981
225	5970	1954
226	5995	1928
227	6022	1901
228	6046	1874
229	6075	1848
230	6100	1822
231	6124	1795
232	6149	1768
233	6176	1742
234	6200	1714
235	6226	1688
236	6249	1661
237	6276	1635
238	6301	1608
239	6327	1581
240	6357	1556
241	6383	1529
242	6411	1504
243	6440	1478
244	6475	1453
245	6502	1427
246	6540	1403
247	6573	1378
248	6602	1352
249	6628	1325
250	6662	1300
251	6691	1274
252	6718	1248
253	6747	1222
254	6775	1195
255	6801	1169
256	6829	1142
257	6855	1116
258	6882	1089
259	6909	1062
260	6937	1036
261	6963	1010
262	6991	983
263	7017	956
264	7045	930
265	7077	904
266	7110	878
267	7153	854
268	7181	827
269	7209	801
270	7239	774
271	7267	748
272	7295	721
273	7320	694
274	7348	668
275	7377	641
276	7402	614
277	7428	587
278	7452	560
279	7480	534
280	7506	507
281	7532	480
282	7559	454
283	7587	427
284	7611	400
285	7642	374
286	7668	347
287	7696	320
288	7722	293
289	7749	267
290	7777	240
291	7803	213
292	7836	187
293	7869	160
294	7900	133
295	7926	107
296	7955	80
297	7985	53
298	8012	26
299	8041	0
